drug,reaction,a,b,c,d,PRR,ROR,chi2,pvalue
FOLIC ACID,Hepatic enzyme increased,1749,17059,4776,1460766,28.53521468732433,31.358304580526173,34144.60077288812,0.0
LEFLUNOMIDE,Abdominal discomfort,1653,5275,12371,1465051,28.494742019395357,37.11062989770067,39029.177522455415,0.0
HYDROXYCHLOROQUINE,Discomfort,887,7309,5628,1470526,28.385676503142797,31.70912636745907,20310.04509105244,0.0
SULFASALAZINE,Alopecia,1617,5774,11396,1465563,28.354553748715567,36.015155309448694,37676.08828395607,0.0
REMICADE,Joint swelling,1622,7520,9236,1465972,28.33863761020363,34.2353490734683,36632.69996183422,0.0
SIMPONI,Wheezing,994,7704,5956,1469696,28.31367500553225,31.83779143277772,22526.972148677145,0.0
INFLIXIMAB,Drug intolerance,1137,6577,7727,1468909,28.16718006509336,32.863710965809666,26102.99983095613,0.0
INFLIXIMAB,Dry mouth,826,6888,5621,1471015,28.12938775417954,31.382708643400257,18901.569737496426,0.0
STELARA,Swelling,1231,8453,6700,1467966,27.978352444715703,31.90717675081354,27175.1501516886,0.0
XELJANZ,Dry mouth,892,7599,5555,1470304,27.910448687078105,31.069301197786576,20005.46589020867,0.0
ADALIMUMAB,Wheezing,1068,8527,5882,1468873,27.90751267900462,31.27765734197834,23536.99763466963,0.0
XELJANZ,Treatment failure,1033,7458,6467,1469392,27.764092824105028,31.471160119264656,23074.09449090716,0.0
LEFLUNOMIDE,Gastrointestinal disorder,1229,5699,9456,1467966,27.71667325485633,33.478173769019946,28188.86746426113,0.0
NAPROXEN,Hepatic enzyme increased,763,6296,5762,1471529,27.71240096673159,30.94962490853848,17401.582857195917,0.0
LEFLUNOMIDE,Hypersensitivity,1541,5387,11874,1465548,27.67593340059073,35.3068250601991,35366.73769324449,0.0
LEFLUNOMIDE,Sinusitis,1127,5801,8687,1468735,27.66628059208751,32.84692155524604,25787.00826339025,0.0
OXYCODONE,Dry mouth,830,7070,5617,1470833,27.61628915836419,30.740973741312175,18607.96759795444,0.0
LEFLUNOMIDE,Contusion,902,6026,6992,1470430,27.51071011211757,31.47895779235821,20495.82643610326,0.0
REMICADE,Musculoskeletal stiffness,1057,8085,6206,1469002,27.48370371211183,30.946075366249392,23139.501637508376,0.0
SULFASALAZINE,Sinusitis,1186,6205,8628,1468331,27.468806490521143,32.52795306550231,26747.095723971965,0.0
ADALIMUMAB,Musculoskeletal stiffness,1101,8494,6162,1468593,27.462528662029325,30.89262567838137,23912.9550511736,0.0
HYDROXYCHLOROQUINE,Dry mouth,852,7344,5595,1470559,27.426426282617427,30.49223717488187,18886.34539401284,0.0
SYMBICORT,Asthma,1571,5913,11325,1465541,27.374442796582677,34.38175712660658,35341.24694519141,0.0
LEFLUNOMIDE,Hypoaesthesia,1244,5684,9716,1467706,27.304206318569783,33.061143802788784,28130.18703886742,0.0
INFLIXIMAB,Wheezing,867,6847,6083,1470553,27.283186936429605,30.61129020412121,19280.95016746435,0.0
HYDROXYCHLOROQUINE,Drug intolerance,1165,7031,7699,1468455,27.253439739247256,31.603497667880884,25721.3407740588,0.0
SULFASALAZINE,Maternal exposure during pregnancy,1160,6231,8536,1468423,27.156188844889368,32.025580444965065,25873.50959715454,0.0
HUMAN IMMUNOGLOBULIN G,Sinusitis,1045,5469,8769,1469067,27.03614132081736,32.01104855801871,23543.78107218478,0.0
EPINEPHRINE,Sinusitis,1115,5891,8699,1468645,27.028194544757703,31.954597009093952,24914.011110949574,0.0
LEFLUNOMIDE,Maternal exposure during pregnancy,1088,5840,8608,1468814,26.95400594108708,31.7892728013444,24274.685884029645,0.0
COSENTYX,Hepatic enzyme increased,1354,12959,5171,1464866,26.89315290602916,29.598556797900716,26848.35608644588,0.0
REMICADE,Drug intolerance,1265,7877,7599,1467609,26.8624810994112,31.015843875944803,27142.748435584635,0.0
RAMIPRIL,Mobility decreased,1010,9154,5467,1468719,26.79538034618933,29.641495066492062,21240.74954779766,0.0
CIMZIA,Musculoskeletal stiffness,1226,9944,6037,1467143,26.78378409239709,29.96267782703897,25396.64650792834,0.0
HYDROXYCHLOROQUINE,Wheezing,898,7298,6052,1470102,26.724349036832887,29.889663566166394,19431.43904219412,0.0
