drug,reaction,a,n_drug,n_event,b,c,d,PRR,ROR
SIMPONI,Discomfort,1007,8698,6515,7691,5508,1470144,31.0170211668122,34.9472175411432
HYDROXYCHLOROQUINE,Joint swelling,1589,8196,10858,6607,9269,1466885,30.8759787251396,38.0612262193498
STELARA,Infusion related reaction,1312,9684,7821,8372,6509,1468157,30.6943506366713,35.3478370240713
SULFASALAZINE,General physical health deterioration,1621,7391,12207,5770,10586,1466373,30.5996431978752,38.9152448657705
ACTEMRA,Discomfort,1082,9615,6515,8533,5433,1469302,30.5458528077917,34.2923209594418
LEFLUNOMIDE,Alopecia,1629,6928,13013,5299,11384,1466038,30.5156679069445,39.5892710434632
GENOTROPIN,Drug dose omission by device,4676,10014,27342,5338,22666,1451670,30.3730567199744,56.1033701749388
NUCALA,Wheezing,756,6003,6950,5247,6194,1472153,30.0579000135063,34.244630032605
XELJANZ,Discomfort,960,8491,6515,7531,5555,1470304,30.0381510533576,33.7397345099003
COSENTYX,Musculoskeletal stiffness,1642,14313,7263,12671,5621,1464416,30.0024804926451,33.760832080438
COSENTYX,Psoriasis,1867,14313,8296,12446,6429,1463608,29.8262385308519,34.1504059209451
SIMPONI,Sleep disorder,1050,8698,7029,7648,5979,1469673,29.7937584950408,33.7468764892605
ACTEMRA,Treatment failure,1218,9615,7500,8397,6282,1468453,29.738157358195,33.9066789328385
LEFLUNOMIDE,General physical health deterioration,1492,6928,12207,5436,10715,1466707,29.6943163142473,37.5699454424402
HYDROXYCHLOROQUINE,Sleep disorder,989,8196,7029,7207,6040,1470114,29.4909709226597,33.4007211991285
SULFASALAZINE,Abdominal discomfort,1800,7391,14024,5591,12224,1464735,29.4255372672721,38.5770248510836
ACTEMRA,Wheezing,1116,9615,6950,8499,5834,1468901,29.3401593862863,33.0614934108887
OXYCODONE,Swelling,1074,7900,7931,6826,6857,1469593,29.2726327895544,33.7210370696572
XELJANZ,Drug intolerance,1276,8491,8864,7215,7588,1468271,29.228691894739,34.2210426719652
INFLECTRA,Condition aggravated,3913,7312,31080,3399,27167,1449871,29.0953543662471,61.4393148355394
SIMPONI,Dry mouth,940,8698,6447,7758,5507,1470145,28.9585841603047,32.3461929654976
SULFASALAZINE,Hypoaesthesia,1384,7391,10960,6007,9576,1467383,28.8813300784546,35.3051291176724
LEFLUNOMIDE,Confusional state,1258,6928,10571,5670,9313,1468109,28.8063160240137,34.9756891383363
ENBREL,Joint swelling,2048,11884,10858,9836,8810,1463656,28.8029304846585,34.5919099105004
XELJANZ,Wheezing,985,8491,6950,7506,5965,1469894,28.7019768379576,32.3372615682252
ENBREL,Musculoskeletal stiffness,1365,11884,7263,10519,5898,1466568,28.6754680630976,32.2667803462165
FOLIC ACID,Hepatic enzyme increased,1749,18808,6525,17059,4776,1460766,28.5352146873243,31.3583045805262
